image_file,image_relative_path,image_absolute_path,origin_file,origin_relative_path,origin_absolute_path,model_id,classification,geometry_type,renderer_backend,phi_azimuth_deg,theta_polar_deg,elevation_deg,camera_convention,camera_x,camera_y,camera_z,target_x,target_y,target_z,up_x,up_y,up_z,camera_distance,vertical_fov_deg,image_width_px,image_height_px,point_size_px,vertex_count,triangle_count,point_count,has_vertex_colors,has_vertex_normals,used_default_color,computed_vertex_normals,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_center_x,bbox_center_y,bbox_center_z,bounding_sphere_radius,origin_size_bytes,origin_modified_utc,origin_sha256,render_status,rendered_utc
HAD93_3075_1__phi_200__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_200__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_200__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,200,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,0.9396926165,0.342020154,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.032252+00:00
HAD93_3075_1__phi_220__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_220__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_220__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,220,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,0.7660444379,0.6427876353,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.083354+00:00
HAD93_3075_1__phi_240__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_240__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_240__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,240,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,0.5,0.8660253882,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.134190+00:00
HAD93_3075_1__phi_260__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_260__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_260__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,260,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,0.1736481935,0.9848077893,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.182083+00:00
HAD93_3075_1__phi_280__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_280__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_280__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,280,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,-0.1736481935,0.9848077893,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.249243+00:00
HAD93_3075_1__phi_300__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_300__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_300__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,300,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,-0.5,0.8660253882,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.301143+00:00
HAD93_3075_1__phi_320__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_320__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_320__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,320,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,-0.7660444379,0.6427876353,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.348918+00:00
HAD93_3075_1__phi_340__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_340__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_340__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,340,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,-0.9396926165,0.342020154,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.399356+00:00
HAD93_3075_1__phi_000__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_000__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_000__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,0,20,70,phi: +X toward +Y; theta: down from +Z,86.97840118,5.74119997,764.9356079,-2.72685,5.7412,518.4725,-0.9396926165,-0,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.452418+00:00
HAD93_3075_1__phi_020__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_020__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_020__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,20,20,70,phi: +X toward +Y; theta: down from +Z,81.56851196,36.42220306,764.9356079,-2.72685,5.7412,518.4725,-0.8830222487,-0.3213938177,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.504285+00:00
HAD93_3075_1__phi_040__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_040__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_040__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,40,20,70,phi: +X toward +Y; theta: down from +Z,65.9913559,63.40262222,764.9356079,-2.72685,5.7412,518.4725,-0.7198463082,-0.6040228009,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.556842+00:00
HAD93_3075_1__phi_060__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_060__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_060__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,60,20,70,phi: +X toward +Y; theta: down from +Z,42.1257782,83.42823029,764.9356079,-2.72685,5.7412,518.4725,-0.469846338,-0.8137977123,0.3420201838,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.596172+00:00
HAD93_3075_1__phi_080__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_080__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_080__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,80,20,70,phi: +X toward +Y; theta: down from +Z,12.85030365,94.08363342,764.9356079,-2.72685,5.7412,518.4725,-0.1631759107,-0.9254165888,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.635882+00:00
HAD93_3075_1__phi_100__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_100__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_100__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,100,20,70,phi: +X toward +Y; theta: down from +Z,-18.30400276,94.08363342,764.9356079,-2.72685,5.7412,518.4725,0.1631759107,-0.9254165888,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.679909+00:00
HAD93_3075_1__phi_120__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_120__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_120__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,120,20,70,phi: +X toward +Y; theta: down from +Z,-47.5794754,83.42823029,764.9356079,-2.72685,5.7412,518.4725,0.469846338,-0.8137977123,0.3420201838,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.720922+00:00
HAD93_3075_1__phi_140__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_140__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_140__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,140,20,70,phi: +X toward +Y; theta: down from +Z,-71.44506073,63.40262222,764.9356079,-2.72685,5.7412,518.4725,0.7198463082,-0.6040228009,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.766352+00:00
HAD93_3075_1__phi_160__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_160__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_160__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,160,20,70,phi: +X toward +Y; theta: down from +Z,-87.0222168,36.42220306,764.9356079,-2.72685,5.7412,518.4725,0.8830222487,-0.3213938177,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.816561+00:00
HAD93_3075_1__phi_180__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_180__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_180__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,180,20,70,phi: +X toward +Y; theta: down from +Z,-92.43210602,5.74119997,764.9356079,-2.72685,5.7412,518.4725,0.9396926165,-1.150791535e-16,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.869321+00:00
HAD93_3075_1__phi_200__theta_020.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_200__theta_020.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_200__theta_020.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,200,20,70,phi: +X toward +Y; theta: down from +Z,-87.0222168,-24.93980408,764.9356079,-2.72685,5.7412,518.4725,0.8830222487,0.3213938177,0.342020154,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:21.923728+00:00
